message,label
"@daNanner Night, darlin'!  Sweet dreams to you ",0
I'd love to tweet all day today but I have work to do that must get done so I'll tweet when I can. God bless everyone!  #tcot,0
@Kevinmiam Thanks! I'll take inspiration from today's test. ,0
@sambasel nothing ,0
@KarenCivil okay! he just texted me saying that he'd wake up me up lol... if he doesnt I call you at 1PM your time! thx Karen ,0
@RachaelPhillips we got beaten... but less than they were getting beaten without me ,0
"@madmagz22 hey hun! great to see u're on twitter, too  hope u're well ;-) x",0
"Gosh, I had not realised how much film studies work Pete had set us. Meanwhile, I'm going to watch 'The Motorcycle Diaries' ",0
"@kkozmic NH is a terrible solution for the  reporting side of CQS  DAAB was better at v2 than it is now, but we will write it anyway",0
"Walking home from school and I look like a loner, funny day at school today ",0
"had an amazing day off today, very relaxing, refreshing, and SO much fun ",0
@YatPundit What country are you in this week?  ,0
@nickgonios thanks! Made it to the airport and Petes passport seemed to have worked  See ya in a few weeks!,0
@paulissima real life is offline too ... don't worry then ... be Happy ,0
Time to disconnect  fantastic dinner waiting with great friends...cant get enough of that!,0
@MirandaBuzz Well I'm going to go to bed now and try to sleep this sickness off. Good night. ,0
@katelyniscool [Meow Out Loud] [Meowing My Ass Off] [Meowing On the Floor Laughing] ,0
Back at the Newark airport terminal waiting to board my flight. Going to see my Rayray this afternoon! ,0
"just found out she got pushed off a chair, hit her head on a wheelbarrow last night. I took a beating. Thank you vodka ",0
"#musicmonday Happy STAR WARS Day, celebrate by joining!  http://axe-tech.net/forums/...",0
@Sunshineliron that was awesome!! ,0
@HayleyTxxx hey!  YAY! thanks!  wow ur page is awesome!!!!!,0
Classic JT for a Saturday evening  http://bit.ly/LrzJr,0
omgoodness FINALLY back from dinner with the fam bam! ,0
"@LILBOOTY24 If u do, please pray 4 me.  Lord knows I need it. ",0
I'm Still Celebrating My Bday Even Though It Was Friday ,0
"Sorry Amanda, that message was not intended for you. ",0
is being lazy   its awesome!!,0
Wondering if i'll get my InMed letter on Wednesday  and this lil dog keeps tryna hump me haha not something im enjoying ...gheez thumper,0
Testing Threeter  More info at http://threeter.devv.com,0
@mmitchelldaviss What colour is your toothbrush? ,0
Went to &quot;Let's Be Frank&quot; today. I enjoy the idea and I support them ,0
Happy Friday Eve everyone...  We're almost there! ,0
The real Cesar Millan (Dog Whisperer) is on Twitter @cesarmillan ollow Cesar - The real Dog Whisperer Twitter account (follow us too) ,0
is ready for the last show  ,0
... and lastly vlogging in response to responses ,0
sweeeeet! found my first cache ever!!! up in tobermory! ,0
@Padmasree writing Haiku is like twittering. ,0
"Yay! Just ordered gurtenfestival-tix!oasis, franz ferdinand and kings of leon! ",0
"Everyone, here's Maria's LJ!     http://bit.ly/TeVeR",0
@AKGovSarahPalin Have a great week Sarah ,0
school laterr ill probly seak on at school soo ill update there ,0
"@AnnaHill Doubg great, thanks! ",0
Ok my bad!! Don't even trip on the subject ese !! Lmao ,0
@cowboymathu Here we go. A well experienced guy among us ,0
@tommsinclair Nice  And even better... Three day weekend just hours away!,0
Bonjour twitters and twitteretts tgif ,0
@jamisloan Nuggets win  they should have won game 1. Dumb mistakes they won't let happen again lakers should be down 2-0,0
hate the weeks before holidays! but I managed physics and.. it was'nt that bad... I hope ,0
@mickyyoochun i also need to join that electo music comm you have. yay metronome ,0
"Muchos thanks @melattree and @husbandsanon for the #followfriday love. Right back atcha, you guys both rock my stream ",0
@StarDiiva lol and u kno it ,0
Watching  http://bit.ly/16Mm0H about #google #wave. Looks good. Now can I have nice android phone please? ,0
A gift to you all. http://www.adinkra.org/htmls/adinkra/asas.html spread the joy. ,0
Yay for free food! Even more yay for the fact that the managers bought it ,0
Papa dropped in at Field Day. Such a oice surprise. The girls were thrilled. ,0
@eli_36 ughh I'm jealous! Bring me some ,0
@asianmanrecords it's not that hard mike!  it can be seen as a strange place at first ,0
@GayPatriot haha. I like that one ,0
@FoxyOxymoron That is what we're here for. Glad I'm staying home waiting on a desk delivery that may or may not come. ,0
"@justlikeanovel You like life like a novel, all tangled up   Just write, I'd like to read more of your work and thoughts",0
"@vh1sCornfed Not yet.  It's on my Netflix list.  I can't wait to see it, though!  ",0
@TwilightEarth Daybreak is my favorite time of day. ,0
Going to Houston for mass at the cathedral ,0
i dont need no good advice im alreadyyyy wasted....GIRLSALOUD 3dayz ,0
@d0opeb0ii sadly you may be right ,0
@Live2Dance84 That's the spirit ,0
ZOMG I just figured out I can finally upgrade my phone to the iPhone :] I'm excited now  Anyone else use the term ZOMG? Reply with ZOMG ,0
3 hours of chillin wit her  the bestester lol idk but im im even more blown away lol lmao jk,0
"TIme to backup my computer. Back up yours too, while I'm doing mine. ",0
Had a Fanastic day!  loved goin to see Casting Crowns and then the Rangers Game with my church. Tomorow is gonna be even better ,0
&quot;Daddy&quot; bought me an air conditioner! ,0
@chavvon hey! ,0
"@noodles2007 You're clearly the best cousin ever. I just took mine to ice cream, right after their mom said no to it. I'm baaaaaaad. ",0
"on the bed with matt, if he can be on a laptop then so can i ",0
@i_stacey wish that I cld stay in bed but there's a whole world outside these doors for now I'm watchin reruns of 90210 ,0
@fearlesslovee http://twitpic.com/69125 - and haha i see twitter in the background ,0
"has found and bought an awesome book today, entitled: &quot;20 Essays Written by 20 Somethings.&quot; ",0
@yesmore thanks! @holeintheboat in da house !! ,0
@HooperMatthew yay auditions  Good luck!!,0
"Hanging out with Whitney, drinking margaritas, and getting ready to grill out!! ",0
@colelove My day is going good! Its hott outside!!  Love this summer weather.,0
"@teemwilliams nice and quiet here, ",0
@tommcfly haha  it depends if its red or white whether its girly lol,0
Just received the best text in my life from Mat! I'm officially in LOVE!  lol A*,0
@qcattq Happy Birthday See you later at little verse it's going to be like old times!  x,0
"@mrskimyadawson This is how I found you on here, because you mentioned. ",0
next weekend @ Rimini!!! ,0
@XanaduBTherapy I'm off from the day job today...so it has to be wonderful!  Hope you are having a great morning as well!!,0
up and movin....got bootcamp in a few hours ,0
@JD_2020 i have placed my votes mainly for CoD WaW totally addictive game i was more fifa but it soon wore off so CoD it is ,0
home from my interview... it went well    we'll just have to see where it goes from here!,0
@tommcfly Fancy Doing your good deed for the day and cheering an obsessive fan up?  Hi would Probz Do Ittt  x x,0
Victoria secret is the most amaaaziiinngg store on the planet ,0
@valkyrierisen thanks ,0
"@Wossy Hello from Oz, show was great, as the ozzies say 'you were on fire'. Have really missed your show, love the giggles you make ",0
@dstormbaby92 i love you ,0
funny how niggas default on contracts and payment ect....and at the end of the day.....i still got paid ,0
July aint coming fast enough!! @loveashlay what u doin for ur bday? Its in 25 days! ,0
@Bontz9 you totally got me with your LOVE SURVEY bulletin on myspace. why was i so intrigued to read?!?!?! GAH! DAMN  YOU!  mucho aloha ,0
I voted for you @KevinRudd I think you're awesome  too amazingly enough tho I hated the LIBS getting the stupid GST into Australia ,0
"@FranAspiemom talk to ya later hon, have a great day!! ",0
